ID,Year of Study,Acquired Skills
15391,1.0,Probability
14514,5.0,"Security, Algorithmic, Statistics"
18970,2.0,"Statistics, Design, Algorithmic, Mathematics, Compilation"
13470,4.0,"Software Engineering, Statistics, Python, Robotics, Web Development"
10888,5.0,"Software Engineering, Java, Statistics, Security"
10904,4.0,"Robotics, Python, Mathematics"
10933,,"Web Development, C++"
10234,1.0,"C++, Mathematics"
14102,5.0,"Mathematics, Python"
12888,3.0,"Algorithmic, Web Development, Compilation"
17408,3.0,"Mathematics, Security"
19950,2.0,"Algorithmic, Mathematics, Design"
14252,3.0,Python
14171,2.0,"Mathematics, Java"
18353,4.0,"Compilation, Web Development"
12748,1.0,"Static Structures, Java"
11981,5.0,Algorithmic
12686,2.0,"Compilation, Statistics, Mathematics"
11421,1.0,Security
12994,4.0,"Probability, Dynamic Structures"
10384,4.0,"Robotics, Security"
13321,2.0,Dynamic Structures
11266,3.0,"Software Engineering, Algorithmic"
16339,4.0,"Algorithmic, Dynamic Structures, Compilation, Java"
17485,3.0,Web Development
11362,,Robotics
14404,1.0,"Security, Python"
19384,4.0,"Algorithmic, Python"
17776,1.0,"Design, Software Engineering"
15682,3.0,Web Development
17814,1.0,"Static Structures, C++"
15031,3.0,"Static Structures, C++, Security"
13138,3.0,"Dynamic Structures, Python, Static Structures"
13425,1.0,Python
10872,5.0,"Robotics, Mathematics, C++, Algorithmic"
15829,2.0,"Dynamic Structures, Python"
17912,5.0,"Dynamic Structures, Compilation"
19777,1.0,"Dynamic Structures, Software Engineering, Mathematics, C++"
10029,1.0,"Design, Robotics, Compilation, Algorithmic, Static Structures"
11929,2.0,"Python, Probability, Java, Software Engineering"
19518,5.0,"Probability, Software Engineering, Web Development, Algorithmic"
18702,5.0,Python
17452,1.0,"Algorithmic, Web Development"
13762,3.0,"Statistics, Software Engineering, Robotics, Compilation, Algorithmic"
12575,5.0,Compilation
13339,4.0,Design
18123,2.0,"Design, Software Engineering, Mathematics"
16814,2.0,"Algorithmic, Design, Probability"
14228,1.0,"Web Development, Design, Dynamic Structures"
12810,1.0,"C++, Robotics, Software Engineering, Web Development"
19299,1.0,"Robotics, Statistics, Python, Java, C++"
10065,5.0,"Algorithmic, Compilation, Dynamic Structures, Robotics"
18080,2.0,"Mathematics, Python, Software Engineering, Security"
10419,1.0,
15871,,"Web Development, Static Structures, Software Engineering"
12206,3.0,"Web Development, Probability"
19594,2.0,"Robotics, Probability, Dynamic Structures"
18768,1.0,"Statistics, Design, Compilation"
12693,5.0,"Web Development, C++, Security"
12237,2.0,Algorithmic
16585,5.0,
18255,5.0,"Static Structures, Security, C++"
18012,4.0,Security
13697,4.0,"Java, Design, Static Structures, Mathematics"
10448,5.0,"Security, C++, Mathematics, Dynamic Structures"
15508,3.0,"Compilation, C++, Static Structures"
12978,5.0,"Dynamic Structures, Static Structures, Mathematics, Robotics, Java"
17928,1.0,Statistics
15374,4.0,"Java, Algorithmic, Mathematics, C++, Static Structures"
18448,3.0,"Statistics, Software Engineering, Algorithmic, C++, Python"
12164,5.0,"Web Development, Probability, Statistics, Robotics, Java"
16056,2.0,Algorithmic
16112,5.0,"Static Structures, Compilation"
15990,4.0,
14727,2.0,"Design, Probability"
13746,4.0,"Compilation, Design, Static Structures"
15575,2.0,Mathematics
15131,5.0,Compilation
15615,5.0,"Mathematics, Robotics, Compilation"
16485,5.0,Compilation
15856,3.0,"Compilation, Python"
11302,5.0,"Python, C++, Algorithmic, Static Structures, Java"
16753,1.0,"Web Development, Mathematics, Probability, C++"
18411,,Static Structures
19221,5.0,"Algorithmic, Web Development, Statistics, C++, Static Structures"
18264,2.0,"Security, Web Development, Software Engineering, Design"
10855,3.0,"Design, Java, Statistics, Compilation, Probability"
18681,2.0,"Software Engineering, Statistics, Security"
17140,3.0,"Java, Python"
16510,1.0,"Static Structures, Web Development, Robotics, Algorithmic"
19480,4.0,"Algorithmic, Static Structures, Probability, Design, Java"
15712,4.0,"Compilation, Statistics, Static Structures, Security, C++"
15033,5.0,"Robotics, Algorithmic"
11043,3.0,"Robotics, Python, Algorithmic, Probability"
10649,5.0,"Software Engineering, Statistics, Web Development"
16425,3.0,"Security, Design"
14547,3.0,"Compilation, Robotics, Design, Web Development"
18490,5.0,"Statistics, Algorithmic, Software Engineering, Static Structures"
14286,1.0,"Static Structures, Robotics"
11978,4.0,"Mathematics, Python, Java, C++, Web Development"
18536,3.0,
12884,1.0,
15846,1.0,"Probability, Security"
12418,1.0,Statistics
17678,2.0,"Python, Algorithmic, Compilation, Web Development"
13228,1.0,"Robotics, Security, Web Development, Java"
19140,,"Python, Compilation, Statistics"
17000,2.0,"Mathematics, Dynamic Structures, Algorithmic, Robotics, Java"
13615,2.0,Software Engineering
15155,1.0,"Probability, Static Structures"
17541,1.0,"Algorithmic, C++, Python, Web Development, Statistics"
16412,2.0,Design
18154,5.0,"Compilation, Java, Static Structures"
14426,1.0,"Mathematics, Statistics, Dynamic Structures, C++, Web Development"
15613,5.0,Python
18047,3.0,"Security, Algorithmic, Python, C++, Java"
17552,5.0,"Python, Software Engineering, Robotics, Design"
18289,3.0,"Static Structures, Compilation"
13637,5.0,"Java, C++, Security, Compilation"
18923,,"Java, Design"
16128,1.0,C++
19717,2.0,"C++, Static Structures"
18288,2.0,"C++, Java, Compilation"
17542,2.0,
13011,1.0,"C++, Software Engineering, Dynamic Structures"
11879,2.0,Security
10815,5.0,"Mathematics, Statistics, C++, Compilation, Robotics"
15642,5.0,"Java, Dynamic Structures"
14435,1.0,"Compilation, Statistics, C++"
19750,4.0,"Statistics, Algorithmic, Robotics, Dynamic Structures, C++"
19928,4.0,Mathematics
10547,3.0,"Dynamic Structures, Mathematics, Design, Probability"
18807,4.0,"Static Structures, C++, Java, Dynamic Structures"
17484,2.0,"Algorithmic, Dynamic Structures, Robotics, Security"
15803,4.0,"Web Development, Security, Design, Compilation"
12709,5.0,Web Development
19701,5.0,"Software Engineering, Static Structures, Mathematics"
10794,3.0,"Statistics, Dynamic Structures"
19348,5.0,C++
13313,3.0,"Java, Robotics"
19568,5.0,"Robotics, Static Structures, Compilation, Web Development, Dynamic Structures"
12365,5.0,"Web Development, Mathematics, Robotics, Algorithmic"
11029,5.0,Mathematics
16242,3.0,"Algorithmic, Software Engineering, Static Structures, Statistics"
15427,5.0,Static Structures
13884,5.0,"C++, Compilation, Static Structures, Python, Software Engineering"
17602,3.0,"Robotics, Static Structures"
15733,4.0,"C++, Mathematics"
13400,4.0,"Python, Security"
13848,4.0,Algorithmic
12168,1.0,"Java, Design, Compilation, Web Development"
19721,2.0,"Design, Python"
19650,2.0,"Probability, Web Development, Robotics, Python, Security"
19871,1.0,"Web Development, Java, Compilation"
19012,,
11289,1.0,"Java, C++, Probability"
12380,5.0,"Algorithmic, Mathematics, Python, Static Structures, Software Engineering"
19226,3.0,"Statistics, Mathematics, Security, Robotics, Web Development"
16032,3.0,"Compilation, Probability, Python, Static Structures, Design"
17725,4.0,"C++, Compilation, Mathematics, Robotics, Static Structures"
17143,2.0,Python
17369,2.0,"Statistics, C++, Software Engineering"
14028,5.0,"Security, Robotics, Compilation"
18472,4.0,"Statistics, Mathematics, Software Engineering, C++"
18141,3.0,"Software Engineering, C++"
13703,2.0,"Web Development, Design, Robotics, Algorithmic, Dynamic Structures"
12003,1.0,"Design, Algorithmic, Security, Mathematics"
14963,4.0,"Software Engineering, Statistics"
17836,2.0,"Security, Java, C++"
16066,1.0,"Compilation, Dynamic Structures"
15161,5.0,"Security, Python"
16404,3.0,"Algorithmic, Mathematics, Statistics, Compilation, Software Engineering"
19254,2.0,"Design, Mathematics, Static Structures, Statistics"
16994,1.0,"Python, Robotics, Mathematics"
15555,1.0,Static Structures
16532,5.0,"Algorithmic, Mathematics, Probability, Python"
19389,2.0,"Algorithmic, Compilation, Mathematics"
16091,4.0,Mathematics
15478,1.0,"Probability, Java, Algorithmic, Robotics, Web Development"
10096,3.0,"C++, Compilation"
15568,1.0,"Compilation, Statistics, Security, Dynamic Structures, Robotics"
19981,5.0,"Software Engineering, Web Development"
12439,3.0,"Algorithmic, Software Engineering, Web Development"
17289,5.0,"Java, Statistics"
11097,1.0,Security
18317,1.0,"Algorithmic, Python, Mathematics, Probability, Java"
12991,4.0,"Security, Compilation, Dynamic Structures, Python"
15237,4.0,"Mathematics, Java, Web Development, Compilation, Robotics"
17727,4.0,"Algorithmic, Statistics, Dynamic Structures, Java, Robotics"
10679,3.0,"Statistics, Robotics"
16271,,Software Engineering
16667,1.0,"Java, Web Development, Robotics, C++"
12722,4.0,"Static Structures, Algorithmic, Design, Mathematics, Java"
18604,4.0,"Java, Compilation, Security"
10976,1.0,"Algorithmic, C++, Static Structures, Probability"
12011,2.0,Algorithmic
15371,2.0,C++
16924,5.0,Statistics
19274,1.0,"Java, Security, Web Development, Probability"
11200,2.0,"Java, Web Development, Probability"
18176,4.0,"Design, Robotics"
17420,1.0,C++
16180,2.0,"Static Structures, Software Engineering, Algorithmic, Design, C++"
12021,4.0,"Security, Compilation, Design, Static Structures, Probability"
19648,4.0,"Software Engineering, Dynamic Structures, Java, Algorithmic"
19806,4.0,"Compilation, Design, Algorithmic"
11648,5.0,"Compilation, Probability"
15080,3.0,"Static Structures, Dynamic Structures"
13741,1.0,"Robotics, C++, Compilation, Java"
13058,4.0,"Python, Probability, Static Structures"
16725,3.0,"Web Development, Dynamic Structures"
17873,3.0,"Web Development, Statistics, Python"
14586,1.0,"Web Development, Security, Python, Software Engineering"
18280,5.0,Design
15415,1.0,"Security, Robotics"
12832,4.0,"Static Structures, Software Engineering, Robotics, Mathematics"
19996,2.0,Probability
12950,1.0,
11766,3.0,"Algorithmic, Software Engineering, C++, Java, Python"
13232,3.0,"Software Engineering, Design, Compilation"
18149,3.0,"Mathematics, Security, Compilation, Statistics"
19752,5.0,Security
17580,5.0,"Robotics, C++"
16515,3.0,"Algorithmic, Dynamic Structures, C++, Python, Compilation"
11921,5.0,"Java, Web Development, Mathematics"
13542,5.0,Probability
18822,,"Software Engineering, Dynamic Structures, Compilation, Robotics, Web Development"
16610,3.0,"Software Engineering, Algorithmic, Static Structures, Security, Python"
12167,2.0,"Mathematics, Java, Python, Robotics"
17866,1.0,"C++, Static Structures, Web Development, Probability, Compilation"
15451,1.0,"Compilation, Statistics, Java"
14544,5.0,Web Development
11554,4.0,"Design, Java"
17530,4.0,
13104,3.0,"Dynamic Structures, Python, Software Engineering"
16930,3.0,
16178,2.0,"Probability, Algorithmic, Compilation, Design, Python"
10089,1.0,"Software Engineering, Robotics"
12153,1.0,C++
16297,5.0,"Probability, Mathematics, Software Engineering, C++, Static Structures"
19458,1.0,"Design, Statistics, Dynamic Structures"
19296,5.0,"Dynamic Structures, Web Development"
14865,2.0,"Statistics, Python"
17292,1.0,Static Structures
13440,2.0,"Web Development, Robotics, Probability"
16772,,
12741,5.0,
14767,5.0,"Dynamic Structures, Design"
13136,3.0,"Web Development, Software Engineering, Compilation"
19582,5.0,Algorithmic
20000,1.0,C++
13445,3.0,"Python, Statistics, Java, Dynamic Structures, Software Engineering"
13273,1.0,"Software Engineering, Web Development, Compilation, Python"
12406,1.0,
17927,2.0,"Java, Compilation, Dynamic Structures"
19959,5.0,"Compilation, Dynamic Structures"
18694,5.0,"Software Engineering, Python, Mathematics"
10044,4.0,Robotics
14287,2.0,"Compilation, Static Structures, Design"
17418,5.0,"C++, Compilation"
16806,5.0,"Web Development, Software Engineering"
12311,1.0,"Mathematics, Software Engineering, Design, Robotics"
15516,5.0,"Dynamic Structures, C++, Algorithmic, Web Development"
13365,1.0,"Software Engineering, Statistics, Design"
17184,1.0,"C++, Software Engineering, Security"
18907,3.0,"Algorithmic, Dynamic Structures"
16537,3.0,Mathematics
14662,2.0,"Robotics, Mathematics, Compilation, Static Structures, C++"
19148,2.0,Mathematics
13260,5.0,"Design, Security, Python, Algorithmic, Software Engineering"
10921,2.0,"Web Development, Software Engineering"
16408,,"Design, Java, Statistics, Compilation"
19339,,"Python, Security"
15059,2.0,"Dynamic Structures, Compilation"
16743,1.0,"Compilation, C++, Java"
12590,4.0,C++
15830,4.0,"Java, Robotics"
18308,5.0,"Software Engineering, C++, Dynamic Structures"
19538,2.0,Dynamic Structures
12250,4.0,Design
12596,5.0,"Python, Static Structures, Robotics, Design"
16561,1.0,"Web Development, Python, Design, Probability, Algorithmic"
12334,2.0,"Compilation, Statistics, Robotics"
16812,3.0,"Probability, C++"
12711,,"Design, Dynamic Structures"
19585,4.0,"Robotics, Design"
14715,5.0,"Compilation, C++"
15765,2.0,"Security, Design"
11333,2.0,Algorithmic
18782,4.0,"Software Engineering, Probability, Java, Python"
10203,2.0,"Java, Software Engineering, Security, Mathematics"
19129,2.0,"Python, Mathematics"
19571,2.0,"Robotics, C++, Statistics, Compilation, Design"
16997,5.0,"Java, Robotics, Static Structures, C++"
15153,4.0,"Mathematics, Java"
11786,4.0,"Static Structures, Java, Compilation, Mathematics"
13304,3.0,Python
16504,4.0,"Static Structures, Robotics, Web Development, Security"
19199,3.0,"Java, Robotics, C++"
17743,5.0,"Security, Software Engineering"
18535,2.0,"Robotics, Java, Probability, Software Engineering"
17905,1.0,"Design, Statistics, Java, Compilation, Python"
16717,1.0,"Security, Mathematics, Algorithmic, Dynamic Structures, Software Engineering"
19151,2.0,
15288,5.0,"Statistics, C++, Compilation, Static Structures, Java"
18377,2.0,"Dynamic Structures, Statistics, Software Engineering, Java"
10300,1.0,Software Engineering
11383,4.0,"Compilation, Robotics, C++, Python, Mathematics"
11431,1.0,"Python, Web Development, Security, Design, Compilation"
15143,1.0,"Software Engineering, C++, Static Structures"
15728,1.0,"Python, Static Structures"
14653,2.0,
18645,5.0,"C++, Statistics"
13193,5.0,Web Development
10391,4.0,"Statistics, C++, Robotics, Probability"
17092,2.0,"Dynamic Structures, Security, Mathematics, Design"
12130,4.0,Design
13299,1.0,"C++, Web Development"
16422,3.0,"Robotics, Web Development, Python, Dynamic Structures"
13481,1.0,"Software Engineering, Compilation, Statistics, Web Development, Static Structures"
13002,4.0,"Python, C++"
11435,2.0,Dynamic Structures
19474,2.0,"C++, Dynamic Structures, Mathematics, Web Development, Statistics"
19169,5.0,"Software Engineering, Design, Compilation, Web Development"
18062,,"Java, C++, Static Structures, Compilation, Robotics"
17568,4.0,Static Structures
18812,2.0,"Dynamic Structures, Python"
13039,4.0,Algorithmic
17989,1.0,"Java, Mathematics, Compilation, Probability"
10734,4.0,Static Structures
13917,5.0,"Design, Web Development, Static Structures, Statistics"
14055,4.0,"Mathematics, Algorithmic, Java"
11757,3.0,"Software Engineering, Design, Security, Static Structures, Java"
11360,4.0,
10912,2.0,"Web Development, Dynamic Structures, Java, Statistics"
14947,3.0,"Probability, Statistics"
17954,1.0,"Security, Statistics"
13997,4.0,Python
17059,5.0,"Robotics, Static Structures"
14840,1.0,"Probability, C++"
11221,5.0,"Software Engineering, C++, Robotics, Web Development"
10952,4.0,"Compilation, Mathematics"
17587,1.0,"Probability, Robotics, Compilation, Java, Design"
13478,1.0,Compilation
14424,4.0,"Compilation, Probability, C++, Statistics"
13833,1.0,Web Development
10346,2.0,"Dynamic Structures, Java, Statistics, Software Engineering"
18473,1.0,"Statistics, Probability"
11794,4.0,Java
14507,1.0,"Design, Statistics, Dynamic Structures"
15038,5.0,"Software Engineering, C++, Design, Robotics"
18708,3.0,Probability
19278,3.0,"Robotics, Compilation, C++, Java, Web Development"
15523,4.0,"Statistics, Design, Software Engineering, Dynamic Structures"
10880,3.0,Robotics
16185,2.0,"Static Structures, Design"
17274,1.0,"Web Development, Dynamic Structures, Java, Statistics"
10776,4.0,"Mathematics, C++, Compilation, Design"
16795,4.0,"Java, Compilation, Security, Statistics"
16078,4.0,"Probability, Static Structures, Mathematics, Robotics"
14644,2.0,
11899,4.0,Design
14138,5.0,"Dynamic Structures, Compilation"
18534,3.0,"Dynamic Structures, Robotics, Python, Design"
12792,1.0,Mathematics
16566,4.0,"C++, Compilation, Java, Probability, Python"
14771,2.0,Probability
14301,5.0,"Software Engineering, Compilation"
14064,1.0,Java
18138,2.0,"C++, Dynamic Structures, Mathematics, Python, Compilation"
18596,3.0,"Security, Algorithmic, Design, C++, Statistics"
17266,3.0,"Mathematics, Dynamic Structures, Software Engineering"
13976,5.0,"Python, Security, Mathematics, Dynamic Structures"
16877,,"Robotics, C++, Compilation, Mathematics"
14885,1.0,"Web Development, Design, Python, C++, Robotics"
13447,5.0,"Compilation, Design, Robotics, Static Structures"
12333,5.0,"Algorithmic, Java, Compilation, Robotics, Security"
14875,3.0,"Security, Compilation, Python, Java, Dynamic Structures"
10231,3.0,Robotics
13355,1.0,"Probability, Robotics, Compilation"
18409,4.0,"Security, Dynamic Structures, Mathematics, Python, Robotics"
19666,4.0,"Java, Compilation, Statistics, Python, Security"
12912,1.0,"Design, Software Engineering"
16788,3.0,"Python, Java"
11674,3.0,"Statistics, Static Structures, Compilation, Robotics, Dynamic Structures"
18749,1.0,"Web Development, Robotics, Compilation, Probability"
17581,5.0,"Python, Algorithmic, Mathematics"
17597,5.0,"Security, Statistics, C++, Design, Static Structures"
16071,,"Mathematics, Software Engineering"
18079,2.0,Probability
15713,4.0,"Python, Robotics, C++, Compilation, Design"
11127,1.0,"Web Development, Dynamic Structures, Probability"
12804,4.0,"Static Structures, Algorithmic, Web Development, Robotics, Probability"
12522,5.0,Design
18467,4.0,"Python, Algorithmic, Compilation, Static Structures"
10938,,Static Structures
11377,4.0,"Java, Mathematics, Python"
13086,2.0,"C++, Design"
13059,5.0,"Robotics, Security"
11394,3.0,"Static Structures, Statistics, Algorithmic, Web Development"
13681,3.0,"Static Structures, Algorithmic, Dynamic Structures, Software Engineering"
18364,4.0,"Software Engineering, Design"
19049,1.0,"Security, Static Structures, Mathematics, Python"
17390,3.0,"Web Development, Statistics, Software Engineering, Compilation"
12898,3.0,"Algorithmic, Mathematics, Statistics, Security"
15664,4.0,"Design, Mathematics, Python"
13769,1.0,"Design, Robotics, Dynamic Structures, Static Structures, Software Engineering"
19264,3.0,C++
15605,4.0,Python
10641,1.0,"Software Engineering, Dynamic Structures"
19167,3.0,C++
16755,3.0,"Static Structures, Algorithmic, Compilation, Probability"
15589,3.0,Statistics
15528,3.0,Dynamic Structures
17790,5.0,"Statistics, Java, Python"
15601,2.0,"Design, Robotics, Compilation, Algorithmic, C++"
14717,3.0,Algorithmic
11971,2.0,Design
16266,4.0,
19484,5.0,"Static Structures, Security, Robotics"
13184,5.0,Java
18142,4.0,"Robotics, Java, Statistics, Static Structures, Web Development"
17598,4.0,Algorithmic
18549,2.0,Compilation
17207,1.0,"Dynamic Structures, Compilation"
13107,1.0,"Robotics, Java, Algorithmic"
12222,3.0,"Security, Web Development"
10064,3.0,"Statistics, Mathematics"
14945,,"Python, Probability, Web Development, Algorithmic, Compilation"
13510,5.0,"Security, Static Structures, Software Engineering, Mathematics, Java"
11778,4.0,"Java, Dynamic Structures"
19858,1.0,"Web Development, Compilation"
17895,3.0,"Java, Statistics, C++"
17675,5.0,"Static Structures, Compilation, C++, Software Engineering"
16245,5.0,"Compilation, Web Development, Robotics, Java, Dynamic Structures"
16268,5.0,"Web Development, Python, Design, C++"
18406,2.0,"Java, Static Structures"
17907,1.0,"Design, C++, Statistics, Robotics, Probability"
19951,4.0,Software Engineering
18566,4.0,Software Engineering
17852,5.0,"Web Development, Robotics, Design, Algorithmic"
18841,1.0,"Robotics, Security, C++, Statistics, Java"
14295,1.0,"Probability, Python, Dynamic Structures, Algorithmic, Security"
14429,5.0,"Static Structures, Security, Mathematics, Statistics"
14242,1.0,"Robotics, Python, Mathematics, Statistics"
12343,1.0,"Compilation, Robotics, Statistics, Web Development, Mathematics"
14839,4.0,C++
14412,4.0,"Probability, Python, Mathematics, Design, Algorithmic"
13244,3.0,Design
16372,2.0,"Statistics, Web Development, Algorithmic"
11835,2.0,"Web Development, Security"
12836,3.0,"Compilation, Algorithmic, C++, Python"
16428,3.0,Python
18840,5.0,"Statistics, Python, Security, Robotics"
10320,5.0,"Python, Dynamic Structures"
15108,1.0,"Security, Web Development, Static Structures, Algorithmic"
18798,4.0,"Mathematics, Design, Web Development, Statistics"
13121,4.0,"Robotics, Web Development"
14518,2.0,"Algorithmic, Python, Security"
11597,4.0,"Robotics, Design, Java"
11825,1.0,"Mathematics, Security"
17584,3.0,"Compilation, Dynamic Structures, Probability"
15604,4.0,"Dynamic Structures, Mathematics, Compilation, Probability"
11239,1.0,Web Development
15079,2.0,"Design, Compilation, Security, Web Development, Probability"
16442,,"Probability, Static Structures, Software Engineering, Design, Java"
14002,2.0,"Mathematics, Java, Dynamic Structures"
17690,5.0,"C++, Static Structures, Python"
16796,2.0,"Statistics, Static Structures, Design"
15985,2.0,"Robotics, Algorithmic, Web Development, Compilation"
11459,5.0,Security
18318,5.0,"Security, Dynamic Structures, C++, Static Structures"
17385,3.0,"Security, Algorithmic, Python, Compilation, Software Engineering"
10259,1.0,"Java, Dynamic Structures, Software Engineering, Compilation"
18172,4.0,"Software Engineering, Web Development, C++"
18742,5.0,"Mathematics, Static Structures"
19230,5.0,"Security, Static Structures, Algorithmic"
18587,2.0,"Mathematics, C++, Java"
11958,1.0,Python
16865,2.0,"Compilation, Python"
12349,3.0,"Software Engineering, Web Development, Robotics, Python"
13945,2.0,"Design, Software Engineering"
16096,5.0,"Python, Web Development, Compilation, Algorithmic"
16668,5.0,Software Engineering
12207,,"Compilation, Java, C++, Mathematics"
13424,2.0,
16477,1.0,"Java, Static Structures"
15401,3.0,Python
11130,4.0,"Probability, Web Development, Python, Dynamic Structures, Design"
19397,4.0,"Security, Robotics"
11315,1.0,"Probability, Java"
14563,,"Dynamic Structures, Web Development, Design, Statistics"
11751,2.0,"Algorithmic, Security"
13288,3.0,Robotics
12226,1.0,"C++, Web Development"
12765,3.0,"Software Engineering, Design, Robotics, Mathematics"
11109,4.0,"Design, Statistics, Dynamic Structures, Robotics"
18458,3.0,"Design, Security"
10365,4.0,"Design, Algorithmic, Static Structures, Java, Mathematics"
12664,2.0,"Dynamic Structures, Web Development, Mathematics"
11716,4.0,"C++, Software Engineering, Design, Compilation, Statistics"
10471,5.0,"Software Engineering, Robotics, Mathematics, C++, Design"
15406,4.0,"Robotics, Software Engineering, Dynamic Structures"
15019,4.0,"Static Structures, Mathematics, Dynamic Structures"
14013,1.0,"Algorithmic, Compilation, Static Structures, Probability"
17243,2.0,"Design, Python, Probability, Dynamic Structures, Statistics"
19823,5.0,"Design, Python"
12429,2.0,"Mathematics, Web Development, Statistics, Java, Algorithmic"
14993,3.0,"Algorithmic, Security"
12500,1.0,"Dynamic Structures, Robotics"
12777,3.0,"Compilation, Mathematics, Design"
18265,3.0,"Design, Probability"
16042,5.0,"Statistics, Compilation, Algorithmic"
18127,2.0,"Dynamic Structures, Security, Statistics, Java"
12376,5.0,"Algorithmic, Mathematics, Design, Web Development, Robotics"
15089,5.0,"C++, Dynamic Structures"
17078,4.0,"Web Development, Static Structures, Software Engineering, Statistics, Dynamic Structures"
11741,2.0,"Design, Security, Algorithmic, Java"
10043,1.0,"Python, Software Engineering, Security"
19008,3.0,"Static Structures, Python, Mathematics"
18116,5.0,"Compilation, Dynamic Structures"
18341,3.0,"Python, Web Development, Java"
18606,5.0,Mathematics
17261,5.0,Software Engineering
13008,1.0,"Python, Statistics"
11975,1.0,"Dynamic Structures, Statistics"
19106,1.0,"Design, Python"
11938,5.0,"Dynamic Structures, Statistics"
13366,4.0,"Python, Static Structures, Robotics, Compilation, Security"
11411,3.0,Compilation
11710,2.0,"Security, Static Structures, Statistics, Software Engineering"
14749,2.0,"Java, Python, Static Structures, Design, Probability"
19063,,"Mathematics, Design, Java, Probability, Dynamic Structures"
11299,4.0,"Software Engineering, Dynamic Structures, Design, Mathematics"
14943,5.0,"Design, Compilation, Mathematics, C++, Probability"
10123,5.0,"Compilation, Design, Probability, Static Structures"
11552,1.0,"C++, Software Engineering, Robotics"
15314,2.0,"Robotics, Design"
16660,5.0,"Design, Robotics, C++, Web Development, Algorithmic"
12762,2.0,Statistics
19498,4.0,"Software Engineering, Security"
13310,,Robotics
16153,5.0,"Dynamic Structures, Security"
11296,4.0,"Compilation, Java, Algorithmic, Security, Dynamic Structures"
14290,,"Java, Software Engineering, Python, Security"
10405,5.0,Probability
15621,3.0,"Java, Software Engineering, Security, Statistics, Python"
19204,4.0,"Design, Robotics, Security"
19883,2.0,"Security, Software Engineering"
12702,,Robotics
15099,2.0,Algorithmic
19736,2.0,Dynamic Structures
13522,,Compilation
19378,3.0,Robotics
13559,1.0,Design
12120,1.0,"Static Structures, Algorithmic, Java"
18861,3.0,"C++, Compilation, Design, Dynamic Structures, Robotics"
16249,4.0,"Static Structures, Java"
19658,3.0,"Robotics, Static Structures, Java, Compilation"
19144,3.0,Security
13145,5.0,"Dynamic Structures, Web Development, Algorithmic, C++, Mathematics"
16004,3.0,"Python, Software Engineering"
10804,4.0,"C++, Compilation, Mathematics"
18108,4.0,"Robotics, Mathematics, Static Structures"
15688,5.0,"Design, Probability, Mathematics, Dynamic Structures, Software Engineering"
16426,1.0,"Algorithmic, Robotics, Compilation, Java, Mathematics"
18521,2.0,Web Development
19186,5.0,Python
16955,3.0,"Statistics, Compilation, Robotics"
13551,4.0,"Design, Software Engineering, Dynamic Structures, C++, Security"
10752,4.0,"Statistics, Algorithmic, Python, Java, C++"
15202,1.0,"Dynamic Structures, Static Structures, Statistics, Robotics"
19317,2.0,"Statistics, Java, Robotics, Mathematics"
13778,2.0,"Python, Mathematics"
10011,1.0,Python
10104,4.0,Software Engineering
12712,1.0,Security
10493,2.0,"Robotics, Algorithmic, Dynamic Structures, Static Structures"
10946,2.0,"Robotics, Probability"
16360,2.0,C++
18985,2.0,"Robotics, Static Structures"
10353,1.0,Software Engineering
14708,4.0,"Security, C++, Java, Design"
11562,2.0,"Web Development, Java, Software Engineering, Mathematics, Dynamic Structures"
12632,2.0,"Robotics, Software Engineering"
17486,1.0,"Mathematics, Design, Statistics"
13539,2.0,"Web Development, Software Engineering, Java"
10138,1.0,Java
19447,1.0,Mathematics
19141,4.0,"Statistics, Robotics, Software Engineering, C++"
18483,2.0,"Mathematics, Compilation, Statistics, Security"
17098,3.0,"Dynamic Structures, Web Development, Probability"
19663,1.0,"Python, Dynamic Structures, Security, Statistics"
12696,2.0,Web Development
11782,1.0,"C++, Web Development, Robotics, Software Engineering, Java"
12291,5.0,"Java, Mathematics, Design, Dynamic Structures, Compilation"
17454,3.0,"Java, C++, Design, Static Structures"
12691,2.0,"Software Engineering, Mathematics, Algorithmic, Web Development, Compilation"
17429,2.0,"Probability, C++, Design, Dynamic Structures, Statistics"
11332,2.0,"Probability, Dynamic Structures, Python, Static Structures"
17687,5.0,"Robotics, Static Structures, Software Engineering"
15489,1.0,"Python, Security"
12224,4.0,"Security, Statistics, Compilation, Software Engineering"
12555,3.0,"C++, Web Development, Mathematics"
16543,5.0,"Security, Dynamic Structures, Algorithmic, Static Structures, Compilation"
15167,3.0,"Robotics, Python, Web Development, Statistics"
17278,2.0,"C++, Python, Web Development"
19973,4.0,"Python, Compilation, Web Development, Static Structures, Mathematics"
11147,4.0,"Algorithmic, Web Development, Design"
14248,,"Static Structures, Probability, Java"
18846,2.0,"Static Structures, Python"
16357,3.0,
13693,5.0,"Static Structures, Java, Dynamic Structures, Statistics"
12942,3.0,"Software Engineering, Python, Mathematics"
11034,5.0,Python
15296,5.0,"Robotics, Python, Security, Web Development, Static Structures"
17848,1.0,Mathematics
10319,4.0,Probability
12262,2.0,Probability
17733,3.0,"Robotics, Design, Algorithmic, Dynamic Structures, C++"
11197,4.0,"Java, Statistics, Security, Probability, Python"
15843,1.0,"Java, Robotics, Compilation, Security, C++"
